,Date,Open,Close,Volume,MACD,RSI,EFFR,UNRATE,USDX,VIX
1,7/13/20,97.264999,95.477501,191649200,2.49233753,74.9422559,0.09,10.2,96.660004,27.85
1,7/14/20,94.839996,97.057503,170989200,2.3571453,61.92928708,0.09,10.2,96.540001,31.139999
1,7/15/20,98.989998,97.724998,153198000,2.555417698,71.15887857,0.1,10.2,96.169998,29.15
1,7/16/20,96.5625,96.522499,110577600,2.487991186,61.73145084,0.1,10.2,96,28.41
1,7/17/20,96.987503,96.327499,92186800,2.440714345,62.66407955,0.09,10.2,96.279999,27.15
1,7/18/20,96.987503,96.327499,92186800,2.375859676,62.66407955,0.09,10.2,96.279999,27.15
1,7/19/20,96.987503,96.327499,92186800,2.297972289,62.66407955,0.09,10.2,96.279999,27.15
1,7/20/20,96.417503,98.357498,90318000,2.165291604,60.2062853,0.1,10.2,96.010002,26.940001
1,7/21/20,99.172501,97,103433200,2.256435733,66.95296992,0.1,10.2,95.75,24.08
1,7/22/20,96.692497,97.272499,89001600,2.104295506,57.50203228,0.09,10.2,95.129997,24.559999
1,7/23/20,96.997498,92.845001,197004400,1.985447312,58.28197438,0.09,10.2,94.980003,23.969999
1,7/24/20,90.987503,92.614998,185438800,1.390276648,41.9460747,0.09,10.2,94.769997,27.959999
1,7/25/20,90.987503,92.614998,185438800,0.908131238,41.9460747,0.09,10.2,94.769997,27.959999
1,7/26/20,90.987503,92.614998,185438800,0.520032911,41.9460747,0.09,10.2,94.769997,27.959999
1,7/27/20,93.709999,94.809998,121214000,0.427220138,49.89229346,0.1,10.2,94.349998,26.6
1,7/28/20,94.3675,93.252502,103625600,0.402085194,51.6147787,0.1,10.2,93.580002,24.860001
1,7/29/20,93.75,95.040001,90329200,0.328551147,49.88054585,0.1,10.2,93.75,25.16
1,7/30/20,94.1875,96.190002,158130000,0.302095115,51.13331766,0.1,10.2,93.32,25.040001
1,7/31/20,102.885002,106.260002,374336800,0.971742598,68.16791546,0.1,10.2,92.82,24.790001
1,8/1/20,102.885002,106.260002,374336800,1.485321195,68.16791546,0.1,8.4,92.82,24.790001
1,8/2/20,102.885002,106.260002,374336800,1.870770851,68.16791546,0.1,8.4,92.82,24.790001
1,8/3/20,108.199997,108.9375,308151200,2.575430202,74.85738703,0.1,8.4,93.459999,25.75
1,8/4/20,109.1325,109.665001,173071600,3.17255181,75.81758006,0.1,8.4,93.559998,24.01
1,8/5/20,109.377502,110.0625,121776800,3.623772013,76.0760942,0.1,8.4,93.230003,23.440001
1,8/6/20,110.404999,113.902496,202428800,4.01796114,77.17797432,0.1,8.4,92.769997,23.030001
1,8/7/20,113.205002,111.112503,198045600,4.504372107,79.89541458,0.1,8.4,92.809998,23.450001
1,8/8/20,113.205002,111.112503,198045600,4.834131445,79.89541458,0.1,8.4,92.809998,23.450001
1,8/9/20,113.205002,111.112503,198045600,5.037400083,79.89541458,0.1,8.4,92.809998,23.450001
1,8/10/20,112.599998,112.727501,212403600,5.090987443,77.40801506,0.1,8.4,93.389999,22.879999
1,8/11/20,111.970001,109.375,187902400,5.02469872,74.7966316,0.1,8.4,93.599998,21.85
1,8/12/20,110.497498,113.010002,165598000,4.79803696,68.94235519,0.1,8.4,93.68,22.82
1,8/13/20,114.43,115.010002,210082000,4.879478339,74.64903093,0.1,8.4,93.370003,22.200001
1,8/14/20,114.830002,114.907501,165565200,4.919588088,75.14921819,0.1,8.4,93.220001,22.27
1,8/15/20,114.830002,114.907501,165565200,4.894949423,75.14921819,0.1,8.4,93.220001,22.27
1,8/16/20,114.830002,114.907501,165565200,4.819862727,75.14921819,0.1,8.4,93.220001,22.27
1,8/17/20,116.0625,114.607498,119561600,4.804425836,76.90298569,0.1,8.4,93.099998,22.52
1,8/18/20,114.352501,115.5625,105633600,4.601169939,69.56744195,0.09,8.4,92.82,21.690001
1,8/19/20,115.982498,115.707497,145538000,4.51951713,72.28158728,0.09,8.4,92.279999,21.6
1,8/20/20,115.75,118.275002,126907200,4.385492815,71.3047323,0.09,8.4,92.959999,24.1
1,8/21/20,119.262497,124.370003,338054800,4.510710074,76.47695656,0.09,8.4,92.720001,22.58
1,8/22/20,119.262497,124.370003,338054800,4.557410661,76.47695656,0.09,8.4,92.720001,22.58
1,8/23/20,119.262497,124.370003,338054800,4.542063136,76.47695656,0.09,8.4,92.720001,22.58
1,8/24/20,128.697495,125.857498,345937600,5.230926731,85.34124721,0.09,8.4,93.199997,22.870001
1,8/25/20,124.697502,124.824997,211495600,5.391935215,72.81370907,0.09,8.4,93.279999,22.16
1,8/26/20,126.18,126.522499,163022400,5.574896857,74.31840357,0.09,8.4,93.019997,22.139999
1,8/27/20,127.142502,125.010002,155552400,5.731492071,75.27520811,0.09,8.4,92.849998,23.42
1,8/28/20,126.012497,124.807503,187630000,5.698721631,71.88890012,0.09,8.4,93.019997,24.59
1,8/29/20,126.012497,124.807503,187630000,5.608104088,71.88890012,0.09,8.4,93.019997,24.59
1,8/30/20,126.012497,124.807503,187630000,5.473197419,71.88890012,0.09,8.4,93.019997,24.59
1,8/31/20,127.580002,129.039993,225702700,5.430171825,73.92144713,0.09,8.4,92.300003,23.91
1,9/1/20,132.759995,134.179993,151948100,5.747798829,79.25856194,0.09,7.9,92.18,25.860001
1,9/2/20,137.589996,131.399994,200119000,6.316449139,82.79442192,0.09,7.9,92.279999,26.01
1,9/3/20,126.910004,120.879997,257599600,5.838025386,58.88890798,0.09,7.9,92.660004,26.280001
1,9/4/20,120.07,120.959999,332607200,4.851020412,49.10912318,0.09,7.9,92.800003,34.619999
1,9/5/20,120.07,120.959999,332607200,4.022443633,49.10912318,0.09,7.9,92.800003,34.619999
1,9/6/20,120.07,120.959999,332607200,3.327433979,49.10912318,0.09,7.9,92.800003,34.619999
1,9/7/20,120.07,120.959999,332607200,2.74499127,49.10912318,0.09,7.9,92.800003,34.619999
1,9/8/20,113.949997,112.82,231366600,1.769174193,40.92898272,0.09,7.9,93.050003,30.610001
1,9/9/20,117.260002,117.32,176940500,1.248529598,46.15318845,0.09,7.9,93.580002,31.68
1,9/10/20,120.360001,113.489998,182274400,1.073682275,50.56295792,0.09,7.9,93.230003,28.67
1,9/11/20,114.57,112,180860300,0.462577515,43.41195428,0.09,7.9,93.330002,28.629999
1,9/12/20,114.57,112,180860300,-0.021479804,43.41195428,0.09,7.9,93.330002,28.629999
1,9/13/20,114.57,112,180860300,-0.400482207,43.41195428,0.09,7.9,93.330002,28.629999
1,9/14/20,114.720001,115.360001,140150100,-0.680891621,43.66973231,0.09,7.9,93.290001,25.860001
1,9/15/20,118.330002,115.540001,184642000,-0.604848869,49.61804854,0.09,7.9,93.059998,25.92
1,9/16/20,115.230003,112.129997,154679000,-0.785671717,45.20371378,0.09,7.9,93.080002,25.309999
1,9/17/20,109.720001,110.339996,178011000,-1.357932836,38.62593224,0.09,7.9,93.150002,28.219999
1,9/18/20,110.400002,106.839996,287104900,-1.736565451,39.79036338,0.09,7.9,92.860001,26.65
1,9/19/20,110.400002,106.839996,287104900,-2.013425017,39.79036338,0.09,7.9,92.860001,26.65
1,9/20/20,110.400002,106.839996,287104900,-2.207392768,39.79036338,0.09,7.9,92.860001,26.65
1,9/21/20,104.540001,110.080002,195713800,-2.801670797,33.04278757,0.09,7.9,93.010002,28.040001
1,9/22/20,112.68,111.809998,183055400,-2.58600072,46.59133994,0.09,7.9,93.550003,28.610001
1,9/23/20,111.620003,107.120003,150718700,-2.472116509,45.30571731,0.09,7.9,93.989998,27.02
1,9/24/20,105.169998,108.220001,167743300,-2.869249033,38.36798691,0.09,7.9,94.379997,29.540001
1,9/25/20,108.43,112.279999,149981400,-2.887637614,43.10979936,0.09,7.9,94.32,28.17
1,9/26/20,108.43,112.279999,149981400,-2.869137071,43.10979936,0.09,7.9,94.32,28.17
1,9/27/20,108.43,112.279999,149981400,-2.821945625,43.10979936,0.09,7.9,94.32,28.17
1,9/28/20,115.010002,114.959999,137672400,-2.2279129,52.3514566,0.09,7.9,94.580002,27.15
1,9/29/20,114.550003,114.089996,99382200,-1.773808402,51.71893191,0.09,7.9,94.239998,26.809999
1,9/30/20,113.790001,115.809998,142675200,-1.458441124,50.63049461,0.09,7.9,93.849998,26.690001
1,10/1/20,117.639999,116.790001,116120400,-0.88761574,55.71491869,0.09,6.9,93.800003,25.780001
1,10/2/20,112.889999,113.019997,144712000,-0.809189975,49.00875093,0.09,6.9,93.730003,28.870001
1,10/3/20,112.889999,113.019997,144712000,-0.738523748,49.00875093,0.09,6.9,93.730003,28.870001
1,10/4/20,112.889999,113.019997,144712000,-0.674742246,49.00875093,0.09,6.9,93.730003,28.870001
1,10/5/20,113.910004,116.5,106243800,-0.535713694,50.60339142,0.09,6.9,93.809998,29.52
1,10/6/20,115.699997,113.160004,161498200,-0.277891725,53.35990584,0.09,6.9,93.440002,28.049999
1,10/7/20,114.620003,115.080002,96849000,-0.158880967,51.49281908,0.09,6.9,93.830002,29.26
1,10/8/20,116.25,114.970001,83477200,0.06619994,54.10307552,0.09,6.9,93.610001,27.65
1,10/9/20,115.279999,116.970001,100506900,0.164411967,52.29945823,0.09,6.9,93.559998,26.200001
1,10/10/20,115.279999,116.970001,100506900,0.239485072,52.29945823,0.09,6.9,93.559998,26.200001
1,10/11/20,115.279999,116.970001,100506900,0.295573857,52.29945823,0.09,6.9,93.559998,26.200001
1,10/12/20,120.059998,124.400002,240226800,0.71746016,60.42035523,0.09,6.9,93.059998,25.65
1,10/13/20,125.269997,121.099998,262330500,1.455434133,67.01247312,0.09,6.9,93.029999,25.67
1,10/14/20,121,121.190002,150712000,1.676406185,58.42394804,0.09,6.9,93.540001,25.719999
1,10/15/20,118.720001,120.709999,112559200,1.648547831,54.41377108,0.09,6.9,93.43,27.1
1,10/16/20,121.279999,119.019997,115393800,1.812150979,57.90733514,0.09,6.9,93.800003,27.16
