Date,Close,Volume,ma7,ma21,26ema,12ema,MACD,momentum,pos,neg,neu,SNP,PFE,JNJ,BMY,VTRS,AMGN,NYSE,NASDAQ,FT6,FT9,ARIMA
8/24/09,31.01145,14227229,30.050436,29.20029081,29.51400603,29.86732223,0.353316195,30.01145,0,0,1,1025.569946,9.982087135,42.44280243,14.89673519,14.29674339,46.29380035,6671.140137,2017.97998,50.33780218,47.94732665,31.01145
8/25/09,31.44084,20081566,30.31897471,29.29934571,29.68890559,30.11569684,0.426791251,30.44084,0,0,1,1028,10.02385139,42.34584427,15.14083672,14.3358326,46.27845764,6697.220215,2024.22998,50.14084476,47.65913021,31.44084
8/26/09,31.183207,10438080,30.56434014,29.42021086,29.8223165,30.28352839,0.461211892,30.183207,0,0,1,1028.119995,10.00595093,41.99260712,15.11444855,14.20879364,46.95316315,6687.939941,2024.430054,49.9444704,47.37232018,31.183207
8/27/09,31.364504,10302154,30.85877871,29.556525,29.95794041,30.45290587,0.494965465,30.364504,0,0,1,1030.97998,10.05965042,41.89564896,15.02867699,14.54104996,46.19413757,6722.310059,2027.72998,49.74869093,47.08693616,31.364504
8/28/09,30.839695,12640452,30.97328257,29.66466748,30.03442346,30.51333982,0.478916363,29.839695,0,0,1,1028.930054,10.02981758,41.75711441,14.593256,14.4628706,45.70342636,6709.040039,2028.77002,49.55351807,46.80301738,30.839695
8/31/09,30.944656,13569294,31.121865,29.77462748,30.1123892,30.58056962,0.468180423,29.944656,0,0,1,1020.619995,9.964187622,41.86100769,14.59985638,14.3358326,45.83377075,6643.240234,2009.060059,49.35896346,46.52060269,30.944656
9/1/09,30.333969,16841465,31.016903,29.85505271,30.13115128,30.54220935,0.411058072,29.333969,0,0,1,998.039978,9.773260117,41.51470566,14.30957508,13.94494438,45.22039795,6487.810059,1968.890015,49.16503865,46.23973053,30.333969
9/2/09,29.398855,14240853,30.78653229,29.89912762,30.06979509,30.36465707,0.294861986,28.398855,0,0,1,994.75,9.713590622,41.39003372,14.33596516,14.01334953,45.31241608,6474.790039,1967.069946,48.97175511,45.96043897,29.398855
9/3/09,28.854961,17347754,30.417121,29.92775352,29.968988,30.13055351,0.161565503,27.854961,0,0,1,1003.23999,9.594258308,41.34156799,14.36235046,13.99380493,44.82938385,6546.600098,1983.199951,48.7791242,45.68276564,28.854961
9/4/09,29.293894,12744309,30.14721914,29.98864057,29.91346313,30.00097365,0.08751052,28.293894,0,0,1,1016.400024,9.779224396,41.77789688,14.51408863,14.19902134,45.1974144,6637.129883,2018.780029,48.58715721,45.40674777,29.293894
9/8/09,29.551527,14400358,29.88822243,30.02817162,29.88393608,29.93143613,0.047500052,28.551527,0,0,1,1025.390015,9.671823502,41.95104599,14.53388405,14.35537624,45.3584137,6726.069824,2037.77002,48.39586532,45.13242213,29.551527
9/9/09,30.104961,13018780,29.78326043,30.07133771,29.90183313,29.95826018,0.05642705,29.104961,0,0,1,1033.369995,9.647957802,42.19345474,14.69881821,14.08175468,45.37374496,6772.399902,2060.389893,48.20525963,44.85982507,30.104961
9/10/09,30.496183,15584913,29.71919286,30.14540167,29.94962966,30.0413528,0.09172314,29.496183,0,0,1,1044.140015,9.749389648,42.01338196,14.68562222,15.12738132,45.25875092,6850.810059,2084.02002,48.01535112,44.58899251,30.496183
9/11/09,31.049618,15100108,29.82142843,30.22719005,30.03753106,30.19700193,0.159470863,30.049618,0,0,1,1042.72998,9.695690155,41.84715271,14.71201134,14.81467056,44.88306427,6843.819824,2080.899902,47.8261507,44.31995987,31.049618
